reference_num,organization,address,classification,start_date,end_date,status,remarks,category
8121,PERTUBUHAN KEBAJIKAN ASNAF RAUDHATUL JANNAH,"LOT 11537, JALAN SEPAKATTAMAN CENDERAWASIHOLAK LEMPIT 42700 KUALA LANGAT SELANGOR",INSTITUSI/ORGANISASI,2017-05-01,2022-04-30,rejected,,Welfare/Social Services
8121,PERTUBUHAN KEBAJIKAN ASNAF RAUDHATUL JANNAH,"LOT 11537, JALAN SEPAKATTAMAN CENDERAWASIHOLAK LEMPIT 42700 KUALA LANGAT SELANGOR",INSTITUSI/ORGANISASI,2022-05-01,2027-04-30,approved,,Welfare/Social Services
8123,"TABUNG PEMBINAAN SJK(C) PADANG GAJAH, BANDAR SERI BOTANI, IPOH",SJK (C) PADANG GAJAH BANDAR SERI BOTANI 31350 IPOH PERAK,TABUNG PEMBINAAN SEKOLAH (TPBS),2016-08-01,2019-07-31,rejected,,Educational
8124,YAYASAN PEMBANGUNAN MASYARAKAT MALAYSIA,NO 70 RUMAH RAKYAT KG JIBOI 70400 AMPANGAN SELANGOR,INSTITUSI/ORGANISASI,2019-01-01,2023-12-31,rejected,,Welfare/Social Services
8127,THE NUSAJAYA NATURAL HERITAGE TRUST (YAYASAN TAMAN WARISAN SEMULAJADI NUSAJAYA),"NO. 17A, JALAN IDAMAN 9/1TAMAN NUSA IDAMAN 79100 ISKANDAR PUTERI JOHOR",INSTITUSI/ORGANISASI,2017-07-01,2022-06-30,rejected,,Environmental/Conservation
8127,THE NUSAJAYA NATURAL HERITAGE TRUST (YAYASAN TAMAN WARISAN SEMULAJADI NUSAJAYA),"NO. 17A, JALAN IDAMAN 9/1TAMAN NUSA IDAMAN 79100 ISKANDAR PUTERI JOHOR",INSTITUSI/ORGANISASI,2022-07-01,2027-06-30,approved,,Environmental/Conservation
8128,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID ABDUL RAHMAN LIMBONG KUALA TELEMONG TERENGGANU,MASJID ABDUL RAHMAN LIMBONGKUALA TELEMONG 21210 HULU TERENGGANU TERENGGANU,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2016-06-15,2025-12-31,rejected,,Religious Organizations
8128,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID ABDUL RAHMAN LIMBONG KUALA TELEMONG TERENGGANU,MASJID ABDUL RAHMAN LIMBONGKUALA TELEMONG 21210 HULU TERENGGANU TERENGGANU,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2026-01-01,2035-12-31,approved,,Religious Organizations
8129,PERSATUAN KEBAJIKAN DAN SOSIAL SELANGOR DAN KUALA LUMPUR,"NO. 2, JALAN USJ 6/2P 47600 SUBANG JAYA SELANGOR",INSTITUSI/ORGANISASI,2022-08-01,2027-07-31,approved,,Welfare/Social Services
8129,PERSATUAN KEBAJIKAN DAN SOSIAL SELANGOR DAN KUALA LUMPUR,"NO. 2, JALAN USJ 6/2P 47600 SUBANG JAYA SELANGOR",INSTITUSI/ORGANISASI,2017-08-01,2022-07-31,rejected,,Welfare/Social Services
8130,PERSATUAN EKOPELANCONGAN & KONSERVASI MALAYSIA,"NO. 28, JALAN SPEKTRUM U16/21TAMAN BUKIT SUBANG 40160 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Environmental/Conservation
8130,PERSATUAN EKOPELANCONGAN & KONSERVASI MALAYSIA,"NO. 28, JALAN SPEKTRUM U16/21TAMAN BUKIT SUBANG 40160 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Environmental/Conservation
8135,YAYASAN NOOR AL SYAKUR,LOT 1001-CTINGKAT 1JALAN BAYAM 15200 KOTA BHARU KELANTAN,INSTITUSI/ORGANISASI,2020-12-01,2025-11-30,rejected,,Religious Organizations
8137,TABUNG PENGURUSAN RUMAH IBADAT MAJLIS PENGANUT BUDDHA VAJRAYANA MALAYSIA,"MAJLIS PENGANUT BUDDHA VAJRAYANA MALAYSIA43, JALAN SS 15/2A 47500 SUBANG JAYA SELANGOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2017-10-15,2022-10-14,rejected,,Religious Organizations
8139,YAYASAN IKHLAS,NO. 27-1-1JALAN MEDAN PUSAT BANDAR 1ASEKSYEN 9 43650 BANDAR BARU BANGI SELANGOR,INSTITUSI/ORGANISASI,2023-08-01,2028-07-31,approved,,Others
8614,TABUNG PEMBINAAN SJK(C) CHUNG HUA NO 2 KUCHING,"SJK CHUNG HUA NO. 2, LOT 11720BLOCK 11 MLTD, JALAN STUTONG 93050 KUCHING SARAWAK",TABUNG PEMBINAAN SEKOLAH (TPBS),2021-05-01,2024-04-30,rejected,,Educational
8615,TABUNG PEMBINAAN RUMAH IBADAT (TPBRI) TOKONG MAZU,"98-99, 2ND FLOOR, GREEN HILL ROAD 93100 KUCHING SARAWAK",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-01-01,2023-12-31,rejected,,Religious Organizations
8616,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID SULTAN YUSUF IZZUDIN SHAH,"MASJID SULTAN YUSUF IZZUDIN SHAHJALAN IPOH-LUMUT 32610 BANDAR BARU SERI ISKANDAR, SERI ISKANDAR PERAK",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2021-01-01,2025-12-31,rejected,,Religious Organizations
8616,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID SULTAN YUSUF IZZUDIN SHAH,"MASJID SULTAN YUSUF IZZUDIN SHAHJALAN IPOH-LUMUT 32610 BANDAR BARU SERI ISKANDAR, SERI ISKANDAR PERAK",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2026-01-01,2035-12-31,approved,,Religious Organizations
8617,"PERTUBUHAN BANTUAN BEBAS UNTUK PERLINDUNGAN DAN KEBAJIKAN HAIWAN, PENANG (IAPWA)",10 LORONG BANGKOK 10250 PULAU TIKUS PULAU PINANG,INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Animals
8617,"PERTUBUHAN BANTUAN BEBAS UNTUK PERLINDUNGAN DAN KEBAJIKAN HAIWAN, PENANG (IAPWA)","PUSAT KAWALAN ANJING LIAR DAN TERBIAR MBPPJALAN SUNGAI BURUNG 32/68, BUKIT RIMAU SEKSYEN 32 10150 GEORGETOWN PULAU PINANG",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Animals
8618,"TABUNG PEMBINAAN SURAU SEKOLAH RENDAH ARAB JAIM TUN RAZAK, BUKIT KATIL","SEKOLAH RENDAH ARAB JAIM TUN RAZAKLOT 1679, JALAN WAKAF UTAMA 7KG. TUN RAZAK 75450 BUKIT KATIL MELAKA",TABUNG PEMBINAAN SEKOLAH (TPBS),2021-04-01,2024-03-31,rejected,,Religious Organizations
8619,"PERSATUAN HOSPIS TAWAU, SABAH","TB14748, MILE 3.5JALAN JAMES POWEROFF JALAN KUHARA 91000 TAWAU SABAH",INSTITUSI/ORGANISASI,2022-01-01,2026-12-31,approved,,Healthcare/Medical
8620,PERTUBUHAN PEMULIHAN DALAM KOMUNITI SERI MUTIARA,"KM. 32, JALAN PARIT PUTAT 77400 SUNGAI RAMBAI MELAKA",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Disability Services
8620,PERTUBUHAN PEMULIHAN DALAM KOMUNITI SERI MUTIARA,"KM. 32, JALAN PARIT PUTAT 77400 SUNGAI RAMBAI NEGERI SEMBILAN",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Disability Services
8621,YAYASAN BUJANG,"NO. 83-02, 85-02 & 85-03JALAN ALIFF 4TAMAN DAMANSARA ALIFF 81200 JOHOR BAHRU JOHOR",INSTITUSI/ORGANISASI,2025-10-01,2030-09-30,approved,,Others
8622,PERTUBUHAN PEMULIHAN DALAM KOMUNITI NUR SHAHIRAH,KM 25 KAMPUNG SUNGAI RENGGI 77300 MERLIMAU MELAKA,INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Disability Services
8622,PERTUBUHAN PEMULIHAN DALAM KOMUNITI NUR SHAHIRAH,KM 25 KAMPUNG SUNGAI RENGGI 77300 MERLIMAU MELAKA,INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Disability Services
8625,YAYASAN OBYU,"WONG & PARTNERSLEVEL 13, MENARA OBYUNO. 4, JALAN PJU 8/8ABANDAR DAMANSARA PERDANA 47820 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Others
8626,PERTUBUHAN KEBAJIKAN NOURISH MALAYSIA (NOURISH),14 MEDAN BURHANUDDIN HELMITAMAN TUN DR ISMAIL 60000 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2024-01-01,2028-12-31,approved,,Welfare/Social Services
8628,MALAYSIAN PALM OIL GREEN CONSERVATION FOUNDATION,"LEVEL 12-3-3APJX HM SHAH TOWERNO. 16 A, JALAN PERSIARAN BARAT PJS 52 46200 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Environmental/Conservation
8628,MALAYSIAN PALM OIL GREEN CONSERVATION FOUNDATION,D/A WAKILSIGNTAKE ADVISORY PLTNO 30C TOP FLOORJALAN TENGKU AMPUAN ZABEDAH K9/KSEKSYEN 9 40100 SHAH ALAM SELANGOR,INSTITUSI/ORGANISASI,2026-01-01,2030-12-31,approved,,Environmental/Conservation
8630,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) SEMENYIH CHRISTIAN ALLIANCE CENTRE,"23-2, JALAN 5/6BANDAR RINCHINGSEKSYEN 5 43500 SEMENYIH SELANGOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2021-01-01,2025-12-31,rejected,,Religious Organizations
8630,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) SEMENYIH CHRISTIAN ALLIANCE CENTRE,"23-2, JALAN 5/6BANDAR RINCHINGSEKSYEN 5 43500 SEMENYIH NEGERI SEMBILAN",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2026-01-01,2035-12-31,approved,,Religious Organizations
8631,PERSATUAN KEBAJIKAN NUR EHSAN NEGERI JOHOR,"LOT 3353, MLO 1034NO. 3, JALAN DENAI 1KEMPAS BAHRU 81200 JOHOR BAHRU JOHOR",INSTITUSI/ORGANISASI,2022-08-01,2027-07-31,approved,,Welfare/Social Services
8633,YAYASAN KHAYR UMMAH ANTARABANGSA (IKAF),"B-02-11, PLAZA DAMAS 3JALAN SRI HARTAMAS 1TAMAN SRI HARTAMAS 50480 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Religious Organizations
8633,YAYASAN KHAYR UMMAH ANTARABANGSA (IKAF),"B-02-11, PLAZA DAMAS 3JALAN SRI HARTAMAS 1TAMAN SRI HARTAMAS 50480 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Religious Organizations
8635,TABUNG PEMBINAAN KUIL SRI VANATHANDAVAR ALAYAM,"PERTUBUHAN PENGIKUT SRI VANATHANDAVAR ALAYAM12 ¼ BATU, SUNGAI UDANG 76300 MELAKA",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-01-01,2023-12-31,rejected,,Religious Organizations
8636,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AL-SYAKIRIN,"MASJID AL-SYAKIRINKM 9, JALAN GOMBAK 53100 KUALA LUMPUR WP KUALA LUMPUR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2021-01-01,2025-12-31,rejected,,Religious Organizations
8636,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AL-SYAKIRIN,"MASJID AL-SYAKIRINKM 9, JALAN GOMBAK 53100 KUALA LUMPUR WP KUALA LUMPUR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2026-01-01,2035-12-31,approved,,Religious Organizations
3080,YAYASAN MAGNUM,35TH FLOORMENARA MULTI-PURPOSE CAPITAL SQUARENO. 8 JALAN MUNSHI ABDULLAH 50100 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2023-07-01,2028-06-30,approved,,Corporate Foundations
3080,YAYASAN MAGNUM (MAGNUM FOUNDATION),35TH FLOORMENARA MULTI-PURPOSE CAPITAL SQUARENO. 8 JALAN MUNSHI ABDULLAH 50100 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,1989-06-06,2023-06-30,rejected,,Corporate Foundations
3081,TABUNG PENDIDIKAN DAN KEBAJIKAN YAYASAN PAHANG,KOMPLEKS YAYASAN PAHANGJALAN TANJUNG LUMPUR 26060 KUANTAN PAHANG,TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1985-03-13,2025-12-31,rejected,,Welfare/Social Services
3081,TABUNG PENDIDIKAN DAN KEBAJIKAN YAYASAN PAHANG,KOMPLEKS YAYASAN PAHANGJALAN TANJUNG LUMPUR 26060 KUANTAN PAHANG,TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2026-01-01,2035-12-31,approved,,Welfare/Social Services
3083,YAYASAN PERSATUAN KAYING PERAK (PERAK KAYING ASSOCIATION FOUNDATION),"114, 3RD FLOORJALAN SULTAN YUSSOF 30000 IPOH PERAK",INSTITUSI/ORGANISASI,1988-06-08,2024-12-31,rejected,,Others
3096,"PERTUBUHAN BENG SIEW SEAN SIAH, SG. PETANI (TABUNG KEBAJIKAN & PELAJARAN)","NO. 68, JALAN KUALA KETILPEKAN LAMA 08000 SUNGAI PETANI KEDAH",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1987-01-01,2025-12-31,rejected,,Educational
3096,"PERTUBUHAN BENG SIEW SEAN SIAH,SG. PETANI. (TABUNG KEBAJIKAN & PELAJARAN)","NO. 68, JLN KUALA KETIL,PEKAN LAMA, 08000 SG. PETANI KEDAH",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2026-01-01,2035-12-31,approved,,Educational
3101,KLINIK SIVANANDA FUND OF THE DIVINE LIFE SOCIETY MALAYSIA,KLINIK SIVANANDA DIVINE LIFE SOCIETYSIVANANDASHRAM 68100 BATU CAVES SELANGOR,LAIN-LAIN TABUNG,1984-11-19,2025-12-31,rejected,,Healthcare/Medical
3101,KLINIK SIVANANDA FUND OF THE DIVINE LIFE SOCIETY MALAYSIA,KLINIK SIVANANDA DIVINE LIFE SOCIETYSIVANANDASHRAM 68100 BATU CAVES SELANGOR,LAIN-LAIN TABUNG,2026-01-01,2035-12-31,approved,,Healthcare/Medical
3102,EXXONMOBIL EDUCATION AND SCHOLARSHIP FUND,MENARA EXXONMOBILKUALA LUMPUR CITY CENTRE 50088 KUALA LUMPUR WP KUALA LUMPUR,TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1986-01-08,2025-12-31,rejected,,Educational
3104,YAYASAN HII YU PENG (HII YU PENG FOUNDATION),D/A HII & LEE (TAX SERVICES) SDN. BHD.P.O. BOX 505 96007 SIBU SARAWAK,INSTITUSI/ORGANISASI,1985-11-15,2025-12-31,rejected,,Corporate Foundations
3105,YAYASAN KLK,WISMA TAIKONO 1 JALAN S.P. SEENIVASAGAM 30000 IPOH PERAK,INSTITUSI/ORGANISASI,1986-01-01,2025-12-31,rejected,,Corporate Foundations
3105,YAYASAN KLK,"WISMA TAIKONO. 1, JALAN S.P. SEENIVASAGAM 30000 IPOH PERAK",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Corporate Foundations
3113,TEO SOO CHENG FOUNDATION,"NO. 1, DATARAN BANDAR UTAMA BANDAR UTAMA, PJU 6 47800 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,1991-01-01,2025-06-30,rejected,,Others
3116,PERBADANAN PERPUSTAKAAN AWAM JOHOR,"19745, JALAN YAHYA AWALKAMPUNG MAHMODDIAH 80100 OHOR BAHRU JOHOR",INSTITUSI/ORGANISASI,1985-03-06,2025-12-31,rejected,,Cultural/Arts
3123,"PERAK EDUCATIONAL AID FUND FOR NEEDY STUDENTS IPOH, PERAK","D/A TETUAN, K.E. POO & CO81B, JLN RAJA EKRAM 30450 IPOH PERAK",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1985-09-08,2025-12-31,rejected,,Educational
3129,"PERTUBUHAN KEBAJIKAN ASRAMA ANAK-ANAK YATIM GHAZALITUL AISHIAH, KATI",D/A MADRASAH GHAZALIAH AISHIAHCAWANGAN KATI 33020 KUALA KANGSAR PERAK,INSTITUSI/ORGANISASI,1989-04-01,2021-12-31,rejected,,Children/Youth
3137,PERSATUAN BARAH SABAH,"LOT 2 , TINGKAT 2, BANGUNAN TEO EE TEH, 89208 Tuaran SABAH",INSTITUSI/ORGANISASI,1996-03-01,2004-11-30,revoked,,Healthcare/Medical
3139,LION-PARKSON FOUNDATION,"FINANCE DIVISION – TAXLEVEL 12, LION OFFICE TOWERNO. 1 JALAN NAGASARI 50200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2025-07-01,2030-06-30,approved,,Others
3139,LION-PARKSON FOUNDATION,"LEVEL 14, LION OFFICE TOWERNO. 1 JALAN NAGASARI (OFF JALAN RAJA CHULAN) 50200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1988-12-19,2025-06-30,rejected,,Others
3141,PERSATUAN AKAUNTAN SEKTOR AWAM MALAYSIA - PERASAMA(TABUNG PELAJARAN),D/A JABATAN AKAUNTAN NEGARA MALAYSIAKOMPLEKS KEMENTERIAN KEWANGAN NO 1 PERSIARAN PERDANAPRESINT 2 62594 PUTRAJAYA WP PUTRAJAYA,INSTITUSI/ORGANISASI,1985-10-01,2018-03-15,revoked,,Educational
3171,YAYASAN TAN SRI LEE LOY SENG,39 PERSIARAN ZARIB 1TAMAN PINJI MEWAH 31500 LAHAT PERAK,INSTITUSI/ORGANISASI,1986-07-01,2025-12-31,rejected,,Corporate Foundations
3171,YAYASAN TAN SRI LEE LOY SENG,39 PERSIARAN ZARIB 1TAMAN PINJI MEWAH 31500 LAHAT PERAK,INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Corporate Foundations
3176,LOO JIN JOO & TEOH AH HONG FOUNDATION,"D/A FOLKS TAXATION SDN. BHD.SUITE 4024, 4TH FLOORPRESIDENT HOUSEJALAN SULTAN ISMAIL 50250 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1990-08-22,2022-01-01,rejected,,Others
3182,YAYASAN SULTAN ABDUL AZIZ SHAH,GALERI DIRAJA SULTAN ABDUL AZIZ SHAHBANGUNAN SULTAN SULEIMAN 41000 KLANG SELANGOR,INSTITUSI/ORGANISASI,1985-10-14,2025-12-31,rejected,,Religious Organizations
4368,PERSATUAN KEBAJIKAN UNTUK WARGA TUA HILIR PERAK,"D/A NO. 8, MEDAN SRI INTANJALAN SEKOLAHP.O. BOX 26 36007 TELUK INTAN PERAK",INSTITUSI/ORGANISASI,1996-05-01,1996-05-01,revoked,,Elderly Care
4370,YAYASAN USAHA MAJU,"ARAS 1, WISMA PERTANIAN SABAHJALAN TASIK, (OFF JALAN MAKTAB GAYA)LUYANG, PETI SURAT 218, POS LIKAS 88856 KOTA KINABALU SABAH",INSTITUSI/ORGANISASI,1996-10-01,2025-12-31,rejected,,Others
4374,DARUL BAKTI,PETI SURAT 238 89158 KOTA BELUD SABAH,INSTITUSI/ORGANISASI,1997-02-01,2025-12-31,rejected,,Religious Organizations
4374,DARUL BAKTI,PETI SURAT 238 89158 KOTA BELUD SABAH,INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Religious Organizations
4378,"BADAN KEBAJIKAN PSIKIATRI, HOSPITAL KUANTAN (BAKEP)",HOSPITAL KUANTANJALAN TANAH PUTIH 25100 KUANTAN PAHANG,INSTITUSI/ORGANISASI,1996-03-01,2021-12-31,rejected,,Healthcare/Medical
4381,YAYASAN JANTUNG SARAWAK,"NO 11, 1ST FLOOR, LOT 2343 BLOK 10KCLD BORMILL ESTATE COMMERCIAL CENTREJALAN TUN AHMAD ZAIDI ADRUCE 93150 KUCHING SARAWAK",INSTITUSI/ORGANISASI,1997-10-15,2025-12-31,rejected,,Healthcare/Medical
4381,YAYASAN JANTUNG SARAWAK,"D/A PRICEWATERHOUSECOOPERS TAXATION SERVICES SDN BHDLEVEL 2 (WEST) & 3 (WEST)WISMA STA, 26, JALAN DATUK ABANG ABDUL RAHIM 93450 KUCHING SARAWAK",INSTITUSI/ORGANISASI,2026-01-01,2030-12-31,approved,,Healthcare/Medical
4390,TABUNG KEBAJIKAN DAN PELAJARAN PERSATUAN KEBANGSAAN PELAJAR ISLAM MALAYSIA,"NO. 8, TINGKAT 1JALAN TC 2A/2TAMAN CEMERLANG 53100 GOMBAK WP KUALA LUMPUR",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1996-09-01,2015-12-31,revoked,Penderma tidak layak mendapat potongan cukai mulai 05 Ogos 2020 (tarikh pemakluman kelulusan di bawah Subseksyen 44(6) ditarikbalik),Religious Organizations
4396,TABUNG KEBAJIKAN DAN PENDIDIKAN PERTUBUHAN BUDDHIST TZU-CHI MERITS MALAYSIA,"316, JALAN MACALISTER 10450 PULAU PINANG",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2025-01-01,2029-12-31,approved,,Religious Organizations
4396,TABUNG KEBAJIKAN DAN PENDIDIKAN PERTUBUHAN BUDDHIST TZU-CHI MERITS MALAYSIA,"316, JALAN MACALISTER 10450 PULAU PINANG",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2022-01-01,2024-12-31,rejected,,Religious Organizations
4396,TABUNG KEBAJIKAN DAN PENDIDIKAN PERTUBUHAN BUDDHIST TZU-ZHI MERITS MALAYSIA,"316, JALAN MACALISTER 10450 PULAU PINANG",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2016-01-01,2021-12-31,rejected,,Religious Organizations
4398,PERSATUAN BUAH PINGGANG SARAWAK (THE KIDNEY ASSOCIATION OF SARAWAK),"LOT 317,(1ST FLOOR)JALAN SATOK 93400 SARAWAK",INSTITUSI/ORGANISASI,2000-12-15,2025-12-31,rejected,,Healthcare/Medical
4401,TABUNG KEBAJIKAN DAN PENDIDIKAN YAYASAN PENDIDIKAN SIK,"150A, LORONG PUSARA KG. SIK DALAM 08200 SIK KEDAH",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1996-03-01,1999-07-12,rejected,,Educational
4404,"PERTUBUHAN RUMAH PERLINDUNGAN WANITA/KANAK-KANAK (DIDERA) SEREMBAN, NEGERI SEMBILAN","340/1833, TAMAN BUKIT KAYAJALAN SUNGEI UJONG 70200 SEREMBAN NEGERI SEMBILAN",INSTITUSI/ORGANISASI,1996-07-01,2025-12-31,rejected,,Children/Youth
4405,"PUSAT HARIAN KANAK-KANAK SPASTIK, BANDARAYA IPOH","K81, JALAN BENDAHARA 31650 IPOH PERAK",INSTITUSI/ORGANISASI,1996-04-01,2025-12-31,rejected,,Disability Services
4408,TABUNG KEBAJIKAN DAN PENDIDIKAN YAYASAN ADDIN,D/A KOMPLEKS PENDIDIKAN MASJID AL AULIA'TAMAN SIN LOKJALAN KUALA KANGSAR 30000 IPOH PERAK,TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1996-09-01,2021-12-31,rejected,,Welfare/Social Services
4409,TABUNG KEBAJIKAN PESAKIT HOSPITAL USM,"HOSPITAL USM, KAMPUS KESIHATANUNIVERSITI SAINS MALAYSIA 16150 KUBANG KERIAN KELANTAN",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1996-10-01,2024-12-31,rejected,,Healthcare/Medical
4412,PUSAT HEMODIALISIS PERSATUAN BUDDHIS PAHANG,LOT PT 57339JALAN BUKIT UBI 25200 KUANTAN PAHANG,INSTITUSI/ORGANISASI,1996-04-01,2025-12-31,rejected,,Healthcare/Medical
4416,PERTUBUHAN THALASSAEMIA SARAWAK,"C/O B.TEO'S CLINIC, JALAN KERETAPI 93150 KUCHING SARAWAK",INSTITUSI/ORGANISASI,1997-09-15,2025-12-31,rejected,,Healthcare/Medical
4417,CHEN CHOY & CHIN MOOI EDUCATION FOUNDATION,"D/A AZMAN, WONG, SALLEH & CO.12TH FLOOR, WISMA TUN SAMBANTHANNO. 2 JALAN SULTAN SULAIMAN 50764 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1996-10-01,2022-12-31,rejected,,Educational
4419,YAYASAN PENDIDIKAN KESEDAR,D/A IBU PEJABAT KESEDARBANDAR BARU GUA MUSANG 18300 GUA MUSANG KELANTAN,INSTITUSI/ORGANISASI,1996-10-01,2025-12-31,rejected,,Educational
